Year ,Annual CO₂ emissions,"Temperature Anomaly
(deg C)","Smoothed Temperature Anomaly
(deg C)",total_gdp
1991,157735428665.72,0.4,0.33,47202260251.29373
1992,152130357048.0,0.22,0.33,47791868828.60267
1993,153050724114.41,0.23,0.33,48761475184.71037
1994,153807587654.89,0.31,0.34,50115271221.65834
1995,156583347013.15,0.45,0.37,51926081913.519264
1996,160990201938.2,0.33,0.4,54042678690.65848
1997,161436819454.73,0.46,0.42,56213859289.62963
1998,160737445994.99,0.61,0.44,57523665585.00251
1999,163714991839.14,0.38,0.47,59706743477.793884
2000,167972614115.0,0.39,0.5,62876380771.44243
2001,169372634367.23,0.53,0.52,64831339415.20345
2002,172799901024.53,0.63,0.55,67148605577.49741
2003,181647397337.04,0.62,0.58,70054038916.80112
2004,187467367632.06,0.53,0.61,74117460988.57695
2005,193289331285.9,0.67,0.62,78086556185.26189
2006,199521247047.88,0.63,0.62,82744312854.45871
2007,204710392798.93,0.66,0.63,87504230235.4193
2008,207879923202.56,0.54,0.64,90305490080.56276
2009,203698611726.65,0.65,0.64,90209169557.1277
2010,215151806350.84,0.72,0.64,95552431004.70801
2011,221924555252.41998,0.61,0.66,99662495443.21794
2012,225160404851.13,0.65,0.69,102546400214.72723
2013,226555342750.4,0.67,0.74,105699406764.53781
2014,227582201253.43,0.74,0.78,109019550436.48769
2015,227612881945.5,0.9,0.83,111824455866.71501
2016,227618086291.96,1.01,0.87,113778520731.06499
2017,231066766707.84,0.92,0.91,117173710165.48717
2018,235455956283.38,0.85,0.93,120597743627.1789
2019,236804778928.57,0.97,0.92,
2020,224973706457.61,1.02,0.92,
2021,236484703554.22,0.85,0.91,
2022,237679815499.6,0.89,0.9,
